sample	seq_num	blast_strain	blast_segment
1A	3	H3N2	4
1A	5	H3N2	4
1A	6	H3N2	4
1A	7	H3N2	4
1A	8	H3N2	4
1A	9	H3N2	4
1A	10	H3N2	4
1A	11	H3N2	4
1A	12	H1N1	4
1A	13	H3N2	4
1A	14	H3N2	4
1A	15	H3N2	4
1A	16	H3N2	4
1A	17	H3N2	4
1A	18	H3N2	4
1A	20	H3N2	4
1A	22	H3N2	4
1A	23	H3N2	4
1A	24	H1N1	4
1A	27	H3N2	4
1A	28	H3N2	4
1A	29	H3N2	4
1A	30	H3N2	4
1A	31	H3N2	4
1A	32	H3N2	4
1A	33	H3N2	4
1A	34	H3N2	4
1A	35	H3N2	4
1A	36	H3N2	4
1A	37	H3N2	4
1A	38	H3N2	4
1A	39	H3N2	4
1A	40	H3N2	4
1A	41	H3N2	4
1A	42	H3N2	4
1A	43	H3N2	4
2A	15	H3N2	4
2A	19	H3N2	4
2C	8	H3N2	4
2C	9	H3N2	4
2C	10	H3N2	7
2C	11	H3N2	7
2C	12	H1N1	7
6A	2	H3N2	4
6A	8	H3N2	4
6A	9	H3N2	4
6A	10	H3N2	4
6C	7	H3N2	4
6C	8	H3N2	4
6C	9	H3N2	4
SS2	2	H3N2	4
SS2	28	H3N2	7
SS2	29	H3N2	7
SS2	31	H3N2	7
SS2	32	H1N1	7
SS2	33	H1N1	7
SS2	35	H1N1	7