library,sample,location,date
ERR1467141,ERR1467141,Avedoere,2016-04-07
ERR1467142,ERR1467142,Amager,2016-04-11
ERR1467143,ERR1467143,Amager,2016-04-07
ERR1467144,ERR1467144,Amager,2016-04-13
ERR1467145,ERR1467145,Amager,2016-04-17
ERR1467146,ERR1467146,Valby,2016-03-29
ERR1467147,ERR1467147,Valby,2016-04-02
ERR1467148,ERR1467148,Valby,2016-04-07
ERR1467149,ERR1467149,Valby,2016-04-11
ERR1467150,ERR1467150,Valby,2016-04-13
ERR1467151,ERR1467151,Valby,2016-04-17
ERR1467152,ERR1467152,Amager,2016-04-02
ERR1467153,ERR1467153,Amager,2016-04-29
ERR1467154,ERR1467154,Amager,2016-05-02
ERR1470822,ERR1470822,Amager,2016-03-10
ERR1470823,ERR1470823,Amager,2016-03-13
ERR1470824,ERR1470824,Amager,2016-03-15
ERR1470825,ERR1470825,Amager,2016-03-20
ERR1470826,ERR1470826,Amager,2016-03-29
ERR1470827,ERR1470827,Valby,2016-03-08
ERR1470828,ERR1470828,Valby,2016-03-10
ERR1470829,ERR1470829,Valby,2016-03-13
ERR1470830,ERR1470830,Valby,2016-03-15
ERR1512984,ERR1512984,Valby,2016-03-20
ERR1512985,ERR1512985,Amager,2016-05-10
ERR1512986,ERR1512986,Valby,2016-05-12
ERR1512987,ERR1512987,Valby,2016-05-16
ERR1512988,ERR1512988,Avedoere,2016-05-16
ERR1512990,ERR1512990,Amager,2016-05-16
ERR1512991,ERR1512991,Valby,2016-02-20
ERR1512992,ERR1512992,Amager,2016-02-20
ERR1512993,ERR1512993,Avedoere,2016-03-01
ERR1512994,ERR1512994,Avedoere,2016-03-15
ERR1512995,ERR1512995,Amager,2016-02-23
ERR1512996,ERR1512996,Amager,2016-03-01
ERR1512997,ERR1512997,Valby,2016-02-23
ERR1512998,ERR1512998,Amager,2016-05-18
ERR1513002,ERR1513002,Amager,2016-05-20
ERR1513003,ERR1513003,Valby,2016-05-20
ERR1513004,ERR1513004,Amager,2016-05-25
ERR1513005,ERR1513005,Valby,2016-05-25
ERR1513006,ERR1513006,Amager,2016-05-28
ERR1513007,ERR1513007,Valby,2016-05-28
ERR1514427,ERR1514427,Valby,2016-06-01
ERR1514428,ERR1514428,Amager,2016-06-01
ERR1514429,ERR1514429,Valby,2016-06-05
ERR1514430,ERR1514430,Valby,2016-06-14