library,sample,dataset,bioproject
ERR2729796,NYC-01,Maritz 2019,PRJEB28033
ERR2729797,NYC-02,Maritz 2019,PRJEB28033
ERR2729798,NYC-03,Maritz 2019,PRJEB28033
ERR2729799,NYC-04,Maritz 2019,PRJEB28033
ERR2729800,NYC-05,Maritz 2019,PRJEB28033
ERR2729801,NYC-06,Maritz 2019,PRJEB28033
ERR2729802,NYC-07,Maritz 2019,PRJEB28033
ERR2729803,NYC-08,Maritz 2019,PRJEB28033
ERR2729804,NYC-09,Maritz 2019,PRJEB28033
ERR2729805,NYC-10,Maritz 2019,PRJEB28033
ERR2729806,NYC-11,Maritz 2019,PRJEB28033
ERR2729807,NYC-12,Maritz 2019,PRJEB28033
ERR2729808,NYC-13,Maritz 2019,PRJEB28033
ERR2729809,NYC-14,Maritz 2019,PRJEB28033
ERR2729810,NYC-15,Maritz 2019,PRJEB28033
ERR2729811,NYC-16,Maritz 2019,PRJEB28033